entidad,municipio,municipio_nombre,seccion,section_id,distrito_local,distrito_federal
11,020,LEON,1693,110201693,3,
11,020,LEON,1694,110201694,3,
11,020,LEON,1695,110201695,3,
11,020,LEON,1696,110201696,3,
11,020,LEON,1697,110201697,3,
11,020,LEON,1698,110201698,3,
11,020,LEON,1699,110201699,3,
11,020,LEON,1700,110201700,3,
11,020,LEON,1701,110201701,3,
11,020,LEON,1702,110201702,3,
11,020,LEON,1703,110201703,3,
11,020,LEON,1704,110201704,3,
11,020,LEON,1705,110201705,3,
11,020,LEON,1706,110201706,3,
11,020,LEON,1707,110201707,3,
11,020,LEON,1708,110201708,3,
11,020,LEON,1709,110201709,3,
11,020,LEON,1710,110201710,3,
11,020,LEON,1711,110201711,5,
11,020,LEON,1712,110201712,5,
11,020,LEON,1713,110201713,3,
11,020,LEON,1714,110201714,3,
11,020,LEON,1715,110201715,3,
11,020,LEON,1716,110201716,3,
11,020,LEON,1717,110201717,3,
11,020,LEON,1718,110201718,3,
11,020,LEON,1719,110201719,3,
11,020,LEON,1720,110201720,3,
11,020,LEON,1721,110201721,5,
11,020,LEON,1722,110201722,3,
11,020,LEON,1723,110201723,3,
11,020,LEON,1724,110201724,3,
11,020,LEON,1725,110201725,3,
11,020,LEON,1726,110201726,3,
11,020,LEON,1727,110201727,3,
11,020,LEON,1728,110201728,3,
11,020,LEON,1729,110201729,3,
11,020,LEON,1730,110201730,3,
11,020,LEON,1731,110201731,3,
11,020,LEON,1732,110201732,5,
11,020,LEON,1733,110201733,5,
11,020,LEON,1734,110201734,5,
11,020,LEON,1735,110201735,3,
11,020,LEON,1736,110201736,3,
11,020,LEON,1737,110201737,3,
11,020,LEON,1738,110201738,3,
11,020,LEON,1739,110201739,5,
11,020,LEON,1740,110201740,3,
11,020,LEON,1741,110201741,5,
11,020,LEON,1742,110201742,5,
11,020,LEON,1743,110201743,3,
11,020,LEON,1744,110201744,3,
11,020,LEON,1745,110201745,3,
11,020,LEON,1746,110201746,3,
11,020,LEON,1747,110201747,5,
11,020,LEON,1748,110201748,5,
11,020,LEON,1749,110201749,5,
11,020,LEON,1750,110201750,5,
11,020,LEON,1751,110201751,5,
11,020,LEON,1752,110201752,5,
