entidad,municipio,seccion,section_id,pan_2018_votos,total_2018,pct_pan_2018,source_rows_2018
11,020,1454,110201454,144,229,62.882096069869,1
11,020,1455,110201455,119,233,51.072961373390555,1
11,020,1456,110201456,204,393,51.908396946564885,1
11,020,1457,110201457,111,226,49.11504424778761,1
11,020,1458,110201458,86,204,42.15686274509804,1
11,020,1459,110201459,198,389,50.899742930591266,1
11,020,1460,110201460,193,354,54.51977401129944,1
11,020,1461,110201461,334,571,58.49387040280211,2
11,020,1462,110201462,145,273,53.11355311355312,1
11,020,1463,110201463,203,422,48.1042654028436,1
11,020,1464,110201464,197,344,57.26744186046512,1
11,020,1465,110201465,231,497,46.478873239436616,2
11,020,1466,110201466,225,401,56.10972568578554,1
11,020,1467,110201467,311,546,56.959706959706956,2
11,020,1468,110201468,367,808,45.42079207920792,3
11,020,1469,110201469,244,391,62.40409207161125,2
11,020,1470,110201470,82,120,68.33333333333333,1
11,020,1471,110201471,45,80,56.25,1
11,020,1472,110201472,172,246,69.91869918699187,2
11,020,1473,110201473,753,1245,60.48192771084337,3
11,020,1474,110201474,198,363,54.54545454545454,2
11,020,1475,110201475,123,208,59.13461538461539,1
11,020,1476,110201476,82,140,58.57142857142858,1
11,020,1478,110201478,379,504,75.1984126984127,2
11,020,1479,110201479,455,1271,35.798583792289534,3
11,020,1480,110201480,605,1208,50.08278145695364,4
11,020,1481,110201481,1069,2375,45.01052631578947,6
11,020,1482,110201482,122,385,31.68831168831169,2
11,020,1483,110201483,625,1232,50.730519480519476,7
11,020,1485,110201485,677,1257,53.858392999204455,5
11,020,1486,110201486,163,324,50.308641975308646,2
11,020,1487,110201487,797,1524,52.29658792650918,5
11,020,1488,110201488,250,503,49.70178926441352,2
11,020,1489,110201489,1151,2322,49.569336778639105,8
11,020,1491,110201491,705,1579,44.648511716276126,6
11,020,1492,110201492,943,1988,47.43460764587525,7
11,020,1497,110201497,341,921,37.02497285559175,3
11,020,1498,110201498,214,471,45.43524416135881,2
11,020,1499,110201499,389,691,56.295224312590456,2
11,020,1501,110201501,630,1366,46.120058565153734,5
11,020,1502,110201502,913,2071,44.084983099951714,8
11,020,1503,110201503,149,298,50.0,1
11,020,1504,110201504,558,1261,44.25059476605868,5
11,020,1505,110201505,186,419,44.39140811455847,2
